       26 97     51-559-305  98 136
       26 97     61-537-321 -44  66
       26132     519999999999999999
       26132     619996999699969996
       27 11     71-252 -75 106 127
       27 11     81-194-102  11  34
       27 23     61-328-200 -22  27
       27 29     51-295-181  -4  26
       27 59     21-216-211-121-103
       27 59     31-252-171 -50 -13
       27 71     41-247 -50 153 152
       27 71     51-433-413-253-183
       27 77     81-241 -88  71 108
       27 77     91  88 -10 -90 -81
       27119     71-389-256 -33  25
       27119     81-165-201-170-143
       27125     91-189-118 -17   4
       27131     71 -78-118-113-107
       27131     81 186  94-125  -1
       27137     51-273-228 -91 -67
       27137     61-321-315-201-157
       27143     91-469-338-103 -19
       27143    101-122-244-247-241
       27149     51-274-252-122-103
       27149     61-366-316-180-114
       28  1     61-550-411-163 -52
       28 33     51-273-204 -73 -35
       28 41     71-263-176 -29  -1
       28 41     81-254-226-118-104
       28 73     61-530-368 -81  10
       28 81     41-270-265-147-123
       28 89     619999999999999999
       28 97     31-387-150 117 176
       28 97     41-100-222-221-227
       28105     31-275-167 -17  25
       28113     31-422-335-173 -90
       28129     31-197-101  33  42
       28129     41-227 -58  90 120
       28137     41-116 -90 -29 -23
       28137     51-238-196-114 -73
       28145     61-160-189-150-131
       28153     51-355-330-158-123
       28161     71-305-201 -60  -4
       28161     91-331-184  23  67
       28169     31-169 -79  38  48
       28169     41-271 -55 112 159
       28177     81 -96-153-142-142
       28185     21-199 -68  61  84
       28201     91-523-309  21 102
       28209     21 -76-107 -96 -89
       29  1     41-200-175 -81 -65
       29  1     51-412-421-263-214
       29  1     61-279-238  41-123
       29  7     41 -82 -22  43  46
       29  7     51 -98-265-302-294
       29 13     71-328-236 -93 -32
       29 31     71-276-100  87 117
       29 37     61-316-298-169-123
       29 43     51-191-147 -57 -38
       29 49     41-290-240 -86 -71
       29 49     51-336-212 -26  20
       29 55     91-330-199 -42  24
       29 61     61-359-314-127 -93
       29 61     71-102-260-278-278
       29 67     71-341-276-114 -61
       29 67     91-373-327-165-113
       29 85     41-303-130  67 102
       29 85     51-187-130  67 -38
       29 91     31 -12 -27 -29 -26
       29109     71-340-295-145 -93
       29109     81 -68  27  97  89
       29115     41-266-184 -37  -9
       29115     51 -88 -73   4 -40
       29127     31-381-278-107 -36
       29139     41-345-213   1  34
       29139     51-195-197-127-113
       29145     41-273-269-176-138
       29151     31 -43-145-175-171
       29151     61-147 -98 -25  -9
       29157     61-327-197  10  39
       29157     71-336-151  64 114
       30  1     71-190-144 -62 -33
       30  1     81  25  85  88 108
       30  5     51-187-182-105 -91
       30 13     31-252-237-124-103
       30 21     51-352-145  91 144
       30 25     51-407-181 107 140
       30 25     619998999899989998
       30 29     31-216-106  27  56
       30 29     41-307-242-113 -70
       30 33     51-435-347-120 -59
       30 37     31-353-258 -55 -22
       30 37     41-326-272-128 -96
       30 45     41-348-196   1  55
       30 49     61-336-163  43  94
       30 61     41 -95-140-128-123
       30 77     51-233-156 -25   2
       30 77     61  95  65  28  16
       30 85     319998999899989998
       30 93    1019996999699969996
       30 97     41-251-146 -31  17
       30101     51-255-171 -20  -7
       30101     61-263 -61 109 154
       30101     71  28 -52-153 -96
       30123     51-204-185 -93 -78
       30123     61-207-251-179-176
       31 14     21-395-235 -49  17
       31 24     91-496-471-311-229
       31 24    101-165-149 -61 -92
       31 34     51-369-290-144 -86
       31 44    101 -50-118-132-135
       31 44    111-279-159  10  40
       31 44    121-239-433-459-445
       31 44    1319998999899989998
       31 74     61-297-177   3  31
       31 74     71-247-253 -69-147
       31 94     21-448-454-344-272
       31104     71-284-128  60  86
       31104     81-302-336-228-223
       31124     31-100 -47  17  24
       31124     41 -61 -95 -73 -80
       31154     41-228-154 -22  -1
       31154     51-209 -72 115  55
       31174     71-301-299-189-142
       31184     31-223-354-338-313
       31214     219998999899989998
       31214     31-486 -36 363 351
       31224     31-424 -29 252 330
       31254     51 -93 185 363 368
