       19 64    -.49986    3.00
       19 71    -.45972    4.00
       19 78    -.52675    3.00
       19 85    -.46140    4.00
       19 92    -.74562    2.00
       19 99    -.64221    3.00
       19106    -.26137    4.00
       19113    -.04005    5.00
       19120    -.57406    3.00
       19127    -.65559    2.00
       19134    -.54738    3.00
       19141    -.86535    1.00
       19148    -.74454    2.00
       19155    -.81157    1.00
       19162    -.18675    4.00
       19169    -.63602    3.00
       19176    -.81157    1.00
       19183    -.75092    1.00
       20  1    -.69723    2.00
       20  8     .29570    5.00
       20 15    -.88151    1.00
       20 22    -.52019    3.00
       20 29    -.75453    1.00
       20 36    -.71766    2.00
       20 43    -.80803    1.00
       20 50    -.82502    1.00
       20 57    -.64346    3.00
       20 64    -.57512    3.00
       20 71    -.84137    1.00
       20 78    -.78487    1.00
       20 85    -.54823    3.00
       20 92    -.69723    2.00
       20 99    -.64215    3.00
       20106    -.43971    4.00
       20113    -.73738    2.00
       20120    -.60436    3.00
       20127    -.77143    1.00
       20134    -.77143    1.00
       20141    -.81176    1.00
       20148    -.61658    3.00
       20155    -.81448    1.00
       20162    -.73110    2.00
       20169    -.62258    3.00
       20176    -.69723    2.00
       20183    -.55705    3.00
       21  1    -.63082    3.00
       21  8    -.58572    3.00
       21 15    -.65691    2.00
       21 29    -.74454    2.00
       21 36    -.57095    3.00
       21 43    -.49704    4.00
       21 50    -.52135    3.00
       21 57    -.63602    3.00
       21 64    -.68379    2.00
       21 71    -.68774    2.00
       21 78    -.73110    2.00
       21 85    -.73110    2.00
       21 92    -.59696    3.00
       21 99    -.67035    2.00
       21106    -.71766    2.00
       21113    -.86825    1.00
       21120     .33159    5.00
       21127    -.61755    3.00
       21134    -.38181    4.00
       21141    -.64947    3.00
       21148    -.81448    1.00
       21155    -.58872    3.00
       21162    -.54303    3.00
       21169    -.54361    3.00
       21176    -.71766    2.00
       21183    -.80700    1.00
       21213    -.50500    3.00
       22  4    -.51672    3.00
       22 11    -.74454    2.00
       22 18    -.67035    2.00
       22 25    -.63602    3.00
       22 32    -.84137    1.00
       22 39    -.72394    2.00
       22 46    -.48984    4.00
       22 53    -.43971    4.00
       22 60    -.64621    3.00
       22 67    -.39586    4.00
